t,best,mean,worst,sd
60.81868304578325,75.0,54.83,41.0,7.824391350130693
60.439508927575076,21.0,14.95,12.0,2.1418449990603894
60.43083844853632,33.0,17.55,11.0,3.800986713999406
60.421677522809894,64.0,36.86,21.0,8.01376316096252
60.2188863122286,30.0,23.51,18.0,2.8017672994022895
60.21269462212288,73.0,34.29,19.0,9.585713327655903
52.666484849394344,200.0,75.44,32.0,36.56810632231317
10.828801993596759,52.0,37.58,27.0,5.217623980319011
10.230200697091744,22.0,17.01,13.0,1.9773467070799697
8.85884131165868,108.0,68.52,15.0,17.124532110396476
7.575009709684855,28.0,23.1,18.0,2.0904544960366875
7.441337340514815,27.0,16.83,10.0,3.2834585424518457
7.439899159975141,30.0,21.27,15.0,3.846699884316425
7.439876883315464,26.0,21.18,16.0,2.290764064673619
7.435587301552144,22.0,15.31,11.0,2.3439069947418987
7.3975183209813276,43.0,32.11,22.0,5.274267721684215
t,best,mean,worst,sd,mean_ar,std_ar
5.886420767666575,160.0,66.53,35.0,26.917449730611555
5.885668755765316,11.0,9.45,8.0,0.864580823289529
5.885668659041259,20.0,16.11,12.0,1.8702673605663975
5.885067672079651,11.0,9.42,8.0,0.9184770002564028
