t,best,mean,worst,sd,mean_ar,std_ar
27.173317407559978,35.0,25.81,18.0,3.6761256779386637,96.30529690459512,17.367816366126615,2.155451001165686
20.232611070541104,13.0,10.93,9.0,1.2510395677195825,15.394533828505661,4.08294825076883,5.603435258588147
8.217251307701083,50.0,31.85,22.0,6.2295665980869,20.723157139989883,2.3939520234909115,1.121901631922466
6.011902014571492,11.0,9.54,8.0,0.8052328855678959,1.137610913949776,1.7557439358455542,4.7482365661027535
3.605585618969226,106.0,35.5,8.0,22.154232101339012,4.152172825771358,0.544720193061598,1.2801368813612128
2.7538592482916395,11.0,9.56,8.0,0.8404760555780278,-0.25674747500835454,0.6668283007463183,5.111836343097659
2.214938610295514,45.0,30.68,8.0,10.969849588759182,1.0708642353632931,0.16711300093916862,1.508949091090111
2.205566084332878,11.0,9.4,8.0,0.6782329983125268,-0.5998570161428158,0.24413416377709624,3.9824988046757785
2.1242202008777586,14.0,10.73,8.0,1.5990934932016951,-0.4618579453587647,0.2059780663409801,4.6553793775172645
2.1150057790999632,52.0,24.48,10.0,12.407642805948276,-0.15998919406421486,0.19988651218498618,1.9257262554888412
2.1085507932609686,105.0,42.52,20.0,16.07387943217194,-0.12707384233240065,0.19464845652218496,0.8547203264247403
2.022860816866157,47.0,15.57,8.0,8.304522864078345,-0.2612619400852605,0.17978717373156472,2.798071382250593
1.9781001681032113,30.0,10.84,8.0,3.8567343699041556,-0.6776439894967295,0.143749549308284,3.847220142619177
1.976141052690526,200.0,80.69,42.0,40.08857567936282,-0.7405715948040302,0.1899361385814966,0.5330247982476751
1.9741344221065185,42.0,33.0,24.0,4.540925015897091,-0.6789270069946605,0.21603959081639676,1.3340823897010436
1.9725955271126336,55.0,41.26,31.0,5.954191800740046,-0.7550193292504264,0.19290236714678854,0.930849756416032
1.951167429628246,39.0,30.9,23.0,4.250882261366457,-0.682888156617727,0.21082911721831135,1.3955672837649375
1.951167072854444,64.0,34.96,24.0,7.900531627681772,-0.8282325021123822,0.1796094625872866,1.1970676343719666
1.9499860341745692,71.0,45.35,22.0,11.088169371000788,-0.8387930683691514,0.1843901043736611,0.8294086241841818
1.949024068610513,58.0,40.52,24.0,7.033462874004526,-0.78633034232554,0.19962065201086956,1.0101437512168896
1.9345626543836836,62.0,41.72,30.0,7.664306883208683,-0.8373524096730002,0.18759937058853715,1.147161609951904
1.91427548006994,63.0,40.05,28.0,7.395099728874521,-0.659767319229233,0.2357142836648278,0.939661824623057
1.9141730563758201,97.0,50.14,10.0,14.808119394440336,-0.875334373375243,0.173448479894825,0.8156990849668246
1.9139061247844857,59.0,40.52,8.0,11.090969299389483,-0.8598064684228519,0.1706480278086821,1.0648835944640107
