t,best,mean,worst,sd,mean_ar,std_ar
27.56486966,29,10.23,8,4.041917862,100.7705864,18.3033372
8.787916316,200,187.47,131,21.98838557,5.689678587,8.012164512
8.041252113,11,10.1,9,0.608276253,4.661707351,1.324181397
7.765433976,200,135.66,25,77.27279211,0.633008171,0.69889277
7.496667366,11,9.71,8,0.778395786,2.935542335,0.924133616
7.422396542,200,109.83,19,78.59300923,0.535356123,0.606378379
5.46742451,200,200,200,0,1.746889361,0.750732537
5.206938189,11,9.27,8,0.719096656,-1.337654649,0.797112045
5.206937573,10,8.97,8,0.74101282,0.707352145,0.484377557
5.206937145,11,9.36,8,0.728285658,0.681312541,0.472553252
5.206937132,11,9.34,8,0.751265599,0.645692447,0.486407244
5.206937129,11,9.22,8,0.756042327,0.689659002,0.45477015
5.206921569,19,11.22,9,2.988578257,0.684333497,0.478028837
5.206905166,11,9.42,8,0.76393717,0.648425466,0.472198572
5.206905163,11,9.37,8,0.743706932,0.668212011,0.46462646
5.206905155,11,9.39,8,0.66174013,0.662817357,0.481057228
5.206905155,11,9.3,8,0.768114575,0.672826439,0.468351988
5.206905009,13,9.56,8,0.993176721,0.670954933,0.501170811
5.206904942,11,9.55,8,0.766485486,0.709470901,0.460274421
5.206904895,11,9.17,8,0.749066085,0.662930344,0.477069383
5.206904876,11,9.43,8,0.724637841,0.672770033,0.461122746
5.206904834,11,9.43,8,0.696491206,0.670189389,0.466060189
5.206904758,11,9.38,8,0.809691299,0.678887203,0.463395394
5.206904604,11,9.4,8,0.734846923,0.679628197,0.452228918
5.206904531,11,9.32,8,0.746726188,0.722775333,0.471284826
5.206901976,11,9.38,8,0.75868307,0.667953817,0.480066957
5.206899322,11,9.24,8,0.788923317,0.66545891,0.477440289
5.206899318,11,9.51,8,0.699928568,0.690957434,0.473722407
5.206899239,11,9.53,8,0.767528501,0.671750085,0.469158868
5.206899098,11,9.29,8,0.682568678,0.645167863,0.495251565
5.206899092,11,9.37,8,0.808146026,0.635057157,0.468527695
5.206899067,11,9.34,8,0.73783467,0.738425898,0.463769297
5.206899056,11,9.34,8,0.777431669,0.662277749,0.47216115
5.206898994,11,9.39,8,0.746927038,0.696156662,0.472370105
5.206898965,11,9.35,8,0.766485486,0.696525193,0.460500082
5.206898933,11,9.53,8,0.699356847,0.655999831,0.481286733
5.206898831,11,9.4,8,0.774596669,0.671399769,0.469284065
5.206898808,11,9.39,8,0.691303117,0.633800433,0.479590084
5.206898802,11,9.39,8,0.773239937,0.690702908,0.469412419
5.206883344,19,11.45,9,3.044256888,0.705517449,0.462150825
5.206865685,11,9.28,8,0.825590698,0.688693199,0.458870571
5.206865647,11,9.17,8,0.749066085,0.644995113,0.488672191
5.206865564,11,9.44,8,0.697423831,0.66308507,0.471008565
5.206865142,16,10.1,8,1.878829423,0.674995646,0.48898598
5.206864549,11,9.38,8,0.75868307,0.670277029,0.462388683
5.206864547,11,9.39,8,0.823346828,0.697314781,0.468710007
5.206864321,11,9.41,8,0.679632254,0.648446,0.475722996
5.206864151,11,9.49,8,0.754917214,0.703969803,0.453502131
5.206864146,11,9.29,8,0.79113842,0.686524253,0.47288871
5.206864133,11,9.34,8,0.73783467,0.703755414,0.481684582
5.206864128,11,9.31,8,0.744244583,0.667733999,0.47787627
5.206864096,11,9.37,8,0.795675813,0.718253126,0.462492243
5.206864092,11,9.33,8,0.825287829,0.661851272,0.470713541
5.206864062,11,9.33,8,0.735594997,0.655881774,0.48464779
5.206864021,11,9.43,8,0.651996933,0.674480865,0.474480926
5.206864014,11,9.31,8,0.757561879,0.649539211,0.496682022
5.206864006,11,9.32,8,0.746726188,0.68639451,0.495843281
5.206863868,11,9.28,8,0.708237248,0.707375906,0.459406011
5.20686385,11,9.27,8,0.732871066,0.639416659,0.481341618
5.206863821,11,9.3,8,0.754983444,0.711748953,0.4704409835.1785529171337625,11.0,9.3,8.0,0.7810249675906655,0.6535043738381845,0.49703035823232117
5.1785528922596304,11.0,9.25,8.0,0.7664854858377946,0.6742311098450847,0.4830432172776066
5.178535934758193,19.0,11.76,9.0,3.1468079064347094,0.7333952680366483,0.47215767441754847
5.17851867272215,11.0,9.28,8.0,0.7222188034107115,0.666508461072201,0.4860853524890966
5.178518648951827,11.0,9.27,8.0,0.7190966555338718,0.6462799607758191,0.48139143454216227
5.178509821332933,19.0,10.78,9.0,2.6592480140069674,0.6747349988815183,0.4790988067126027
5.178499872022742,11.0,9.43,8.0,0.7383088784512889,0.6615220063204467,0.47606108687967125
5.178499863748105,11.0,9.44,8.0,0.7255342858886822,0.6722916553272377,0.4663939538179623
5.178499863413111,11.0,9.25,8.0,0.8046738469715541,0.6750630475140621,0.4746000982059517
5.178499800524235,11.0,9.29,8.0,0.7112664760833312,0.6554528321626331,0.46218322688727975
5.178499800523085,11.0,9.37,8.0,0.8325262758616091,0.6962948430666305,0.4766200037908505
5.178499800015228,11.0,9.39,8.0,0.7334166619323561,0.6376418427617285,0.48207206795358026
