t,best,mean,worst,sd,mean_ar,std_ar
t,best,mean,worst,sd,mean_ar,std_ar
8.829480258809387,200.0,200.0,200.0,0.0,71.49089635906749,5.541023928489679
8.481841954398522,200.0,200.0,200.0,0.0,0.49163245548735923,0.7226041043736974
8.32929183021867,17.0,10.1,8.0,1.5968719422671314,-1.1731726867988952,0.4693865695479311
8.226031178853962,200.0,200.0,200.0,0.0,0.6068650430564569,0.8919581046766604
8.221732179388445,200.0,200.0,200.0,0.0,0.05569517820627548,0.4893605582447767
8.197403613533433,11.0,9.37,8.0,0.7022107945624304,-0.042906579497402245,0.45603152914039763
8.197403543127216,13.0,9.54,8.0,1.071634265969505,0.6346439796977223,0.5078899018627623
8.197403339424865,11.0,9.32,8.0,0.7858753081755401,0.6115394900513177,0.4934712460702372
8.197403337515759,12.0,9.5,8.0,0.8306623862918074,0.5722915174519644,0.49512674462064415
8.197400848555933,28.0,10.1,8.0,2.2427661492005804,0.5880901260617164,0.5097341703547865
8.187945790652169,200.0,200.0,200.0,0.0,0.7079090549053682,0.72528216754172
8.18688198489522,12.0,9.37,8.0,0.7701298591796061,0.5454627972795117,0.48037428580001384
8.186881769201634,13.0,9.71,8.0,1.1427598172844544,0.5695458347221224,0.42524779359855186
8.186580787908946,200.0,200.0,200.0,0.0,0.6407469727709428,0.5348153938456902
8.186551277761682,15.0,9.91,8.0,1.3497777594848717,0.7005692604648253,0.5634253622159627
8.186551161554187,13.0,9.56,8.0,1.022936948203554,0.5676399316312545,0.44410857591123926
8.186551061904854,13.0,9.66,8.0,1.097451593465516,0.5936094767593435,0.4125723076808547
8.186548688053175,200.0,200.0,200.0,0.0,0.5988159713904919,0.43046104276592184
8.186421494668387,200.0,200.0,200.0,0.0,0.656433463214843,0.5000839633228996
8.18641056715121,11.0,9.51,8.0,0.7549172140042906,0.6335728971090895,0.49025553906482067
8.186410517754487,11.0,9.24,8.0,0.7631513611335564,0.6108863691342354,0.46947044644198666
8.186410464630605,11.0,9.39,8.0,0.6766830868286867,0.66966615402975,0.48573632753904783
8.1864102993679,13.0,9.6,8.0,0.9591663046625439,0.6714522086623682,0.4987831425172542
8.186410128012712,15.0,9.74,8.0,1.2459534501738017,0.6564089039703445,0.5154420555441057
8.186381059799515,200.0,200.0,200.0,0.0,0.6293106093525935,0.46048108436265445
8.185875149399475,200.0,200.0,200.0,0.0,0.6322993764853798,0.5120796685230028
8.183421897080187,200.0,200.0,200.0,0.0,0.6481209811067183,0.5304435364153112
8.182759121377126,11.0,9.4,8.0,0.8124038404635959,0.7281834203501548,0.44192586048046806
8.182759085502559,12.0,9.66,8.0,1.0790736768172968,0.6223144899760584,0.49579664490850434
8.180214151281822,200.0,200.0,200.0,0.0,0.6390517422751281,0.5218080921831754
8.17989797507823,12.0,9.4,8.0,0.8602325267042626,0.5515217838125017,0.4391348340436853
8.179897234103235,10.0,9.16,8.0,0.6740919818541086,0.6361213891275667,0.513744960130658
8.179893941611768,17.0,9.84,8.0,1.3169662106523463,0.6107082169152404,0.4676309317645843
8.17989287662057,12.0,9.76,8.0,1.0111379727811631,0.5918349672589225,0.4693042657600414
8.1798924481211,17.0,9.94,8.0,1.5219724044804492,0.6106185726767243,0.5163943129165066
8.179892444110678,17.0,10.09,8.0,1.5943337166352594,0.6365005918342912,0.44690212743045293
8.179891394582208,11.0,9.3,8.0,0.7810249675906655,0.637014861441285,0.46017724170507407
8.179890648490977,17.0,9.81,8.0,1.2304064369142418,0.5783835884591848,0.5003293628309752
8.17988995293129,12.0,9.62,8.0,0.8340263784797218,0.6867437248787819,0.4246893416973394
8.179889933174357,11.0,9.35,8.0,0.7262919523166975,0.6485104098812736,0.45183646784827625
8.176224301263172,200.0,200.0,200.0,0.0,0.6812706722376662,0.45038189947560314
8.175770406948363,12.0,9.64,8.0,0.8777243302996677,0.5661758251434943,0.4835389993133675
8.175770287487202,12.0,9.5,8.0,0.9327379053088815,0.6848665184938209,0.526972132329403
8.175770009504584,11.0,9.33,8.0,0.721872564930958,0.6570448049913941,0.4636365010663747
8.175769893224986,12.0,9.6,8.0,0.9273618495495703,0.6854664666431984,0.5259474987190407
8.175769751449492,11.0,9.39,8.0,0.7196526940128828,0.6252816956949057,0.4413122169929817
8.175769494072956,12.0,9.36,8.0,0.9221713506718803,0.6086319315785201,0.49325465335965984
8.17576949362011,13.0,9.52,8.0,1.043839068055991,0.6677693512766114,0.4224305459219838
8.175769328200145,11.0,9.32,8.0,0.7467261881037789,0.6594521681987782,0.46881217354750787
8.175769289997337,11.0,9.42,8.0,0.6808817812219681,0.6108322544380902,0.4069624629445297
8.17576928157305,11.0,9.36,8.0,0.7683749084919418,0.686770543147216,0.5189135298749175
