t,best,mean,worst,sd,mean_ar,std_ar
8.519270201359003,11.0,9.41,8.0,0.8011866199581719,77.63784235540689,5.992277229830134
6.021269007120364,200.0,180.8,8.0,57.6,0.18808020408160453,1.1869321663240382
4.831518921901099,200.0,200.0,200.0,0.0,4.532209178299545,0.32153136331886634
3.6000984033384404,200.0,200.0,200.0,0.0,4.903844391340071,0.25370972609266085
2.920004336293246,10.0,9.06,8.0,0.7186097689288674,2.268226673833942,0.22117051068459478
2.9200013683250936,11.0,9.39,8.0,0.8111103500757466,-0.3647711422622194,0.4378842974958755
2.9200013215672525,11.0,9.56,8.0,0.7116178749862878,-0.08204616165082242,0.5605277406332903
2.9200002637400586,10.0,8.98,8.0,0.7480641683706017,-0.21793097643075707,0.20503515155244872
t,best,mean,worst,sd,mean_ar,std_ar
8.093206821079788,11.0,9.4,8.0,0.7483314773547883,79.69400898991412,5.316218268037314
7.480302521282832,200.0,171.21,8.0,68.53397624536315,-0.2324974233761489,0.6313585407713566
7.274571647323156,11.0,9.32,8.0,0.7332121111929345,1.4464558041132463,0.4408245039549336
6.008454152858648,200.0,200.0,200.0,0.0,0.06873505169966626,0.8632792467908678
5.959986900054246,11.0,9.36,8.0,0.7683749084919418,1.3619122357373568,0.6319508965037054
5.959613089509422,11.0,9.43,8.0,0.7906326580656785,-0.1356237822076163,1.1061436842804577
5.9596130756133014,11.0,9.35,8.0,0.7794228634059948,-0.02919573936490944,0.40401588413701917
3.9451307647670135,200.0,200.0,200.0,0.0,0.058154508297637394,0.6033908090082357
3.739096695019817,11.0,9.41,8.0,0.762823701781742,-1.1401566529647207,0.057389796564442916
3.738712140320991,11.0,9.4,8.0,0.66332495807108,-0.25662462889610416,0.37068476839165915
3.738712140319473,13.0,9.44,8.0,0.8639444426582069,-0.054058495829412884,0.4418432530128748
t,best,mean,worst,sd,mean_ar,std_ar
14.458586322158789,200.0,200.0,200.0,0.0,76.58655372449725,3.6813714820825214
2.6347380345731692,200.0,200.0,200.0,0.0,-0.3095946092137875,3.071664402374961
2.6331941894133704,11.0,9.43,8.0,0.6671581521648372,-0.03992592229553029,0.22489316554819344
2.633141417934196,11.0,9.2,8.0,0.7745966692414834,-0.24660587515644214,2.7755575615628914e-17
2.633141416960437,11.0,9.37,8.0,0.783007024234138,0.07641539381139795,0.19820188973009573
2.631689236764761,200.0,200.0,200.0,0.0,-0.001935514574162288,0.2906700326337976
2.6316471050611527,11.0,9.48,8.0,0.7277362159464101,0.015315113954977972,0.16861829694108726
2.630470712413544,200.0,200.0,200.0,0.0,0.07679678267554292,0.2881420580609616
2.6218380880239534,200.0,200.0,200.0,0.0,-0.03875037465356093,0.12869253610683926
t,best,mean,worst,sd,mean_ar,std_ar
25.76689153722213,200.0,200.0,200.0,0.0,88.8764634847304,6.230898264476062
25.710063649833675,11.0,9.4,8.0,0.6633249580710799,22.133679773171075,9.872550997470613
25.710059970110475,11.0,9.4,8.0,0.7071067811865476,23.84408748406453,7.792896227297264
25.70778343204667,26.0,10.67,8.0,2.8880962587836296,17.192403387562223,11.6207931957817
25.706963974866394,17.0,9.66,8.0,1.6445060048537374,13.10486559830288,11.068455858449216
25.700852680668348,11.0,9.42,8.0,0.6954135460285484,-0.42756098798909253,5.551115123125783e-17
25.70085087573457,11.0,9.32,8.0,0.7984985911070853,19.18211100114874,10.884373869026067
25.609731214538506,12.0,9.47,8.0,0.8883130078975541,1.4376358278464976,2.06558890808717
25.522191002875054,11.0,9.22,8.0,0.756042326857432,19.15965234462628,9.451001762789282
25.429710508111036,11.0,9.28,8.0,0.8009993757800314,18.815305210698558,10.797572496805229
3.2741099895033434,200.0,200.0,200.0,0.0,1.020980954794402,6.745838332806324
3.021547221034444,10.0,9.03,8.0,0.7410128204019144,1.4961177020436054,0.3381283036326436
3.0215467718589157,11.0,9.43,8.0,0.7906326580656785,-0.062133638551682864,0.25225557555441547
