t,average_reward
19.04346560748333,200.0
t,average_reward
43.33894282086319,172.24
43.303243012570185,9.66
43.30314320348228,9.49
43.30314023168758,9.31
43.30299174433641,9.89
43.30276961236631,9.38
43.302768064812284,9.51
43.30271672454364,9.69
43.30271649411341,9.6
43.30269746840436,9.3
43.302620482186555,9.72
43.3024592544912,9.46
43.302439134439496,9.4
43.302435953217355,9.57
43.30243373223804,9.35
43.302433673971,9.4
43.30242247405117,9.28
43.30242185523707,9.25
43.30242099573723,9.45
t,average_reward
t,average_reward
35.07251094841967,200.0
16.903265671175312,179.96
t,average_reward
26.773046846194912,9.4
26.77303076471025,9.51
26.77303027566894,9.21
26.77303019666694,9.41
26.773029682235972,9.26
26.77302603590976,9.36
26.773020896321675,9.29
t,average_reward
62.8842470637151,137.26
62.77173140050314,9.31
62.77168110202519,9.38
62.771676958802175,9.45
62.771676532143125,9.24
62.77167534243358,9.47
62.77167293338763,9.27
62.77167098999678,9.55
62.77165710327793,9.38
62.77165481591705,9.43
62.77164730375912,9.31
62.77164706805739,9.25
62.77164121741611,9.44
62.771641206238506,9.22
62.77162489938857,9.4
62.77161971538847,9.44
62.77161416832648,9.43
62.77160273064364,9.33
45.17664241371312,157.59
32.2836515281579,179.41
31.739296403589943,9.34
31.73929635685675,9.45
31.739294569008056,9.3
31.73928637913349,9.47
31.73927657657824,9.32
31.739274919161428,9.57
31.739273493651435,9.17
31.73926965680414,9.41
31.739256985126815,9.21
31.739253262532007,9.35
t,average_reward
t,average_reward
37.195336570716414,10.16
t,average_reward
28.02633261858206,200.0
28.022717835621147,9.36
t,average_reward
42.19396557298189,200.0
20.37241173761097,200.0
10.35905099841396,200.0
7.54458764992741,200.0
5.88673539183714,200.0
5.239689602123648,200.0
4.203261665636286,200.0
3.7647067381400907,200.0
3.197682085190116,200.0
2.9341033879552425,9.26
2.9341033865167705,9.42
2.9341033816077595,9.35
2.9341033749092786,9.44
2.934103356606833,9.39
2.9341033135432606,9.46
t,average_reward
30.40720936538423,200.0,200.0,200.0,0.0
30.405958732765978,11.0,9.34,8.0,0.5844
30.40594526822617,11.0,9.34,8.0,0.5244000000000001
17.145673385372177,200.0,200.0,200.0,0.0
7.54950741843736,200.0,200.0,200.0,0.0
5.981695381960941,200.0,200.0,200.0,0.0
4.771130640748212,200.0,200.0,200.0,0.0
4.434029996406859,200.0,199.61,193.0,1.3179000000000003
4.256454988355867,200.0,200.0,200.0,0.0
3.99829347098766,200.0,200.0,200.0,0.0
3.6185885693379096,11.0,9.38,8.0,0.6956000000000002
3.61858856895806,11.0,9.44,8.0,0.6264000000000002
3.6185885663957347,11.0,9.27,8.0,0.47709999999999986
3.6185883917428554,11.0,9.29,8.0,0.4858999999999999
3.6185883517808324,11.0,9.38,8.0,0.49560000000000004
3.6185883176232974,11.0,9.33,8.0,0.6411000000000001
3.6185883171263478,11.0,9.15,8.0,0.5275
3.6185883134055636,11.0,9.36,8.0,0.5303999999999999
3.6185883128089444,11.0,9.33,8.0,0.4211000000000001
3.6185883096191165,11.0,9.47,8.0,0.5091
3.6185882889994976,11.0,9.35,8.0,0.6075
3.6185882885942267,11.0,9.26,8.0,0.6123999999999999
3.6185882439455757,11.0,9.38,8.0,0.5156
3.6185882177998017,11.0,9.33,8.0,0.46110000000000007
3.6185880791543075,11.0,9.36,8.0,0.5104
3.6185880781606916,11.0,9.2,8.0,0.54
3.618587989760266,11.0,9.36,8.0,0.49039999999999995
3.618587745432849,11.0,9.35,8.0,0.4675
3.6185877153183252,11.0,9.25,8.0,0.4675
3.6185876690537104,10.0,9.24,8.0,0.5223999999999999
3.6185876553730916,11.0,9.46,8.0,0.5884
3.618587613207121,11.0,9.34,8.0,0.6244
3.6185876072217553,11.0,9.35,8.0,0.6075
3.618587597679001,10.0,9.29,8.0,0.4858999999999999
3.6185874609217854,11.0,9.31,8.0,0.49390000000000006
3.618587315589258,11.0,9.3,8.0,0.4500000000000001
3.618587310815644,11.0,9.33,8.0,0.5411
