t,average_reward,,,,,
18.56087107,200,200,200,0,,
t,best,mean,worst,sd,mean_ar,std_ar
22.24804137,200,200,200,0,81.78199917,11.67692104
12.87581186,200,200,200,0,4.563562119,5.379945568
10.91225618,200,200,200,0,7.916127622,2.149569686
9.995077235,200,200,200,0,2.831151731,2.08306198
8.572018415,200,200,200,0,4.50827918,1.621087566
7.498466082,200,200,200,0,5.004308798,1.96418512
6.203536815,200,200,200,0,2.894847073,1.298857168
5.50032785,200,200,200,0,3.489659294,1.509962538
4.976331972,200,200,200,0,2.075768235,0.948804202
4.963229484,200,200,200,0,0.711321695,0.932982705
4.958926594,200,200,200,0,0.902361226,0.857323177
4.957154392,200,200,200,0,0.915451396,0.818272178
4.953788846,200,200,200,0,0.93417967,0.907817927
4.898264288,200,200,200,0,1.095137129,0.875261995
4.053270096,200,200,200,0,1.380146075,0.8248196
3.79350165,200,200,200,0,2.073815867,0.945246561
3.705077603,200,200,200,0,1.417869231,0.7207909
3.443189794,200,200,200,0,0.967078609,0.612102036
3.393241163,200,200,200,0,1.453250751,0.68384008
3.27821872,200,200,200,0,1.237293491,0.632789427
3.215631715,200,200,200,0,0.706608254,0.540558517
3.205928665,200,200,200,0,0.358826775,0.573951411
3.205393934,200,200,200,0,0.276457078,0.605262491
3.205193114,200,200,200,0,0.241688853,0.60542989
3.202994462,200,200,200,0,0.201504683,0.591395204
3.202123271,200,200,200,0,0.316394221,0.569471231
3.200706427,200,200,200,0,0.284673518,0.602730413
3.199998113,200,200,200,0,0.288301244,0.575620698
3.199255864,200,200,200,0,0.19538701,0.600955549
3.195325294,200,200,200,0,0.249329286,0.598679962
3.178440077,200,200,200,0,0.238026528,0.615655363
3.173414907,200,200,200,0,0.147159191,0.623462478
3.170276061,200,200,200,0,0.189548052,0.613469932
3.170030562,200,200,200,0,0.265640015,0.58454163
3.169991389,200,200,200,0,0.315335803,0.580751245
3.165532006,200,200,200,0,0.271404931,0.603842669
3.165512224,200,200,200,0,0.181761689,0.606785962
3.163033129,200,200,200,0,0.14392053,0.605960922
3.159249147,200,200,200,0,0.235258873,0.579546224
3.15627349,200,200,200,0,0.188352089,0.600212262
3.155627157,200,200,200,0,0.216656437,0.5806150873.1532032719234913,200.0,200.0,200.0,0.0,0.378329399190911,0.5618134282742192
3.148081791268447,200.0,200.0,200.0,0.0,0.32277705099520254,0.5851124441994152
3.1436897579704013,200.0,200.0,200.0,0.0,0.22461096032875927,0.5942674174740963
3.1399257755913887,200.0,200.0,200.0,0.0,0.13333617560532332,0.6156713580935176
3.138915690737217,200.0,200.0,200.0,0.0,0.22653655789381022,0.5860471874333487
